,10 Hz,20 Hz,40 Hz,100 Hz
DYL_EO,0.38000000000000006,0.3822222222222222,0.39333333333333326,0.39333333333333326
DRL_EC,0.7133333333333334,0.7177777777777778,0.7133333333333334,0.7133333333333334
DRL_EO,0.4400000000000001,0.5333333333333333,0.5311111111111111,0.54
HXL_EC,0.468888888888889,0.4666666666666667,0.47777777777777786,0.47333333333333344
HXL_EO,0.6888888888888889,0.668888888888889,0.6311111111111112,0.6466666666666667
HYL_EC,0.5044444444444445,0.5444444444444444,0.5866666666666667,0.5955555555555556
HYL_EO,0.6244444444444444,0.5555555555555556,0.5911111111111111,0.5466666666666667
HRL_EC,0.7244444444444446,0.6577777777777778,0.6222222222222222,0.6044444444444445
HRL_EO,0.5355555555555556,0.5111111111111111,0.4955555555555556,0.49777777777777776
fractaldimension_EC,0.7888888888888889,0.7911111111111111,0.7666666666666667,0.7577777777777778
fractaldimension_EO,0.42444444444444446,0.4333333333333334,0.36888888888888893,0.3844444444444445
covariance_EC,0.6311111111111112,0.6266666666666667,0.6288888888888889,0.6266666666666667
covariance_EO,0.4288888888888889,0.4288888888888889,0.4311111111111111,0.4288888888888889
swayvector_angle_EC,0.5577777777777778,0.5266666666666666,0.6577777777777778,0.6622222222222224
swayvector_angle_EO,0.6377777777777778,0.671111111111111,0.7022222222222223,0.7488888888888889
sample_entropy_ML_EC,0.3044444444444445,0.36888888888888893,0.38222222222222224,0.43555555555555553
sample_entropy_ML_EO,0.5377777777777778,0.5111111111111113,0.4488888888888889,0.2822222222222222
sample_entropy_AP_EC,0.7977777777777778,0.7022222222222223,0.7977777777777776,0.62
sample_entropy_AP_EO,0.4866666666666667,0.6533333333333334,0.7044444444444444,0.7466666666666667
DLE_ML_EC,0.5266666666666666,0.4755555555555556,0.42222222222222217,0.39555555555555566
DLE_ML_EO,0.4511111111111112,0.5422222222222222,0.48888888888888904,0.5400000000000001
DLE_AP_EC,0.4533333333333333,0.4711111111111112,0.5577777777777777,0.6511111111111111
DLE_AP_EO,0.4866666666666668,0.3622222222222223,0.5422222222222223,0.5266666666666666
%recurrence_ML_EC,0.47666666666666674,0.5766666666666667,0.5,0.3111111111111111
